	index	player	unique_id	year_start	year_finish	position	link
336	5573	Rich Parent	parenri01	1998	2001	G	https://www.hockey-reference.com/players/p/parenri01.html
337	5595	Eddie Pasquale	pasqued01	2019	2019	G	https://www.hockey-reference.com/players/p/pasqued01.html
338	5596	Steve Passmore	passmst01	1999	2004	G	https://www.hockey-reference.com/players/p/passmst01.html
339	5617	Dimitri Patzold	patzodi01	2008	2008	G	https://www.hockey-reference.com/players/p/patzodi01.html
340	5622	Ondrej Pavelec	pavelon01	2008	2018	G	https://www.hockey-reference.com/players/p/pavelon01.html
341	5641	Alexander Pechurski	pechual01	2010	2010	G	https://www.hockey-reference.com/players/p/pechual01.html
342	5651	Pete Peeters	peetepe01	1979	1991	G	https://www.hockey-reference.com/players/p/peetepe01.html
343	5657	Jean-Marc Pelletier	pelleje01	1999	2004	G	https://www.hockey-reference.com/players/p/pelleje01.html
344	5704	Justin Peters	peterju01	2010	2017	G	https://www.hockey-reference.com/players/p/peterju01.html
345	5707	Calvin Petersen	peterca01	2019	2020	G	https://www.hockey-reference.com/players/p/peterca01.html
346	5746	Calvin Pickard	pickaca01	2015	2020	G	https://www.hockey-reference.com/players/p/pickaca01.html
347	5749	Timo Pielmeier	pielmti01	2011	2011	G	https://www.hockey-reference.com/players/p/pielmti01.html
348	5753	Frank Pietrangelo	pietrfr01	1988	1994	G	https://www.hockey-reference.com/players/p/pietrfr01.html
349	5821	Justin Pogge	poggeju01	2009	2009	G	https://www.hockey-reference.com/players/p/poggeju01.html
350	5845	Tomas Popperle	poppeto01	2007	2007	G	https://www.hockey-reference.com/players/p/poppeto01.html
351	5861	Felix Potvin	potvife01	1992	2004	G	https://www.hockey-reference.com/players/p/potvife01.html
352	5867	Kevin Poulin	poulike01	2011	2015	G	https://www.hockey-reference.com/players/p/poulike01.html
353	5890	Carey Price	priceca01	2008	2020	G	https://www.hockey-reference.com/players/p/priceca01.html
354	5896	Cayden Primeau	primeca01	2020	2020	G	https://www.hockey-reference.com/players/p/primeca01.html
355	5925	Martin Prusek	prusema01	2002	2006	G	https://www.hockey-reference.com/players/p/prusema01.html
356	5936	Daren Puppa	puppada01	1986	2000	G	https://www.hockey-reference.com/players/p/puppada01.html
357	5955	Jonathan Quick	quickjo01	2008	2020	G	https://www.hockey-reference.com/players/q/quickjo01.html
358	5967	Antti Raanta	raantan01	2014	2020	G	https://www.hockey-reference.com/players/r/raantan01.html
359	5969	Andre Racicot	racican01	1990	1994	G	https://www.hockey-reference.com/players/r/racican01.html
360	5970	Bruce Racine	racinbr01	1996	1996	G	https://www.hockey-reference.com/players/r/racinbr01.html
361	5990	Jamie Ram	ramja01	1996	1996	G	https://www.hockey-reference.com/players/r/ramja01.html
362	5994	Karri Ramo	ramoka01	2007	2016	G	https://www.hockey-reference.com/players/r/ramoka01.html
363	6002	Bill Ranford	ranfobi01	1986	2000	G	https://www.hockey-reference.com/players/r/ranfobi01.html
364	6009	Tuukka Rask	rasktu01	2008	2020	G	https://www.hockey-reference.com/players/r/rasktu01.html
